time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
0.06,-0.000563725416823,-4.64616478438e-13,1.02486863766,6.28318530701,0.0817206788201,0.0,-0.0346200723462,-4.64616478438e-11,0.828346113061,9.99125521089e-10,0.642733248666,0.0
0.12000000000000001,-0.0102367690421,-8.04041861438e-12,1.07597495502,6.28318530297,0.761491445045,0.0,-0.413490997458,-3.0367489416e-10,0.797358768076,-2.04224672926e-07,11.3896395916,0.0
0.18,-0.0392407407596,-1.14394941438e-10,1.11959196857,1.41122278308e-08,0.585058303669,0.0,-0.355140931562,-2.44904833857e-09,0.402917460933,1.25805798897e-06,19.6543958686,0.0
0.23999999999999996,-0.0806320599564,-6.85164419049e-10,1.13148235155,1.1137983158e-07,4.82938580433,0.0,-0.652764070651,-3.89718751559e-08,-0.53535478853,2.28816122272e-06,15.3430302599,0.0
0.3,-0.0855034358509,-1.28340126116e-10,1.09947279269,2.59112282741e-07,0.312817516478,0.0,0.233409854611,1.17702373358e-07,-0.25703291239,2.83342487265e-06,13.0385805446,0.0
0.36000000000000004,-0.0947488463396,1.63936039214e-08,1.10027840376,4.41048278788e-07,1.73681474487,0.0,-0.756520622143,3.82603007291e-07,0.05375297927,3.45192451411e-06,11.0200796264,0.0
0.4200000000000001,-0.179908234718,3.19927167601e-08,1.07132835009,6.37209546461e-07,2.66874952932,0.0,-1.98427086116,2.65216113601e-08,-1.19910493313,3.03903646328e-06,9.68457441817,0.0
0.48000000000000015,-0.312778125306,6.6123283102e-09,0.941649296388,8.23398260685e-07,3.38408660138,0.0,-2.29204305721,-9.32813325963e-07,-3.15689602117,3.23136246308e-06,8.72390850973,0.0
0.5400000000000001,-0.43450245158,-8.33748033111e-08,0.694868305882,1.03509499905e-06,4.02983415119,0.0,-1.63702820759,-2.04609867076e-06,-5.00383184256,4.12210535155e-06,7.80379918745,0.0
0.6000000000000002,-0.495916308449,-2.30347876566e-07,0.354328415513,1.29611602517e-06,4.5775186288,0.0,-0.352889453243,-2.75476882343e-06,-6.2381285568,4.80683669381e-06,7.04903607323,0.0
0.6600000000000003,-0.473519472637,-3.95707015084e-07,0.0,1.58789643834e-06,5.05143527975,0.0,1.09255707234,-2.60597828655e-06,-6.73087648158,5.04859388732e-06,6.4308836698,0.0
