time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.54299702446e-07,-8.87879627436e-08,10.002493742,6.28295170824,0.000252361873101,0.0,-2.21322804652e-05,-1.31564680021e-05,0.0831216139272,-0.0131134054366,0.0115137961777,0.0,431.8467527410891,432.81662269180765,431.2439366801212,430.1351063570223
0.12000000000000001,-1.00542571454e-05,-9.12135186522e-06,10.0122857661,6.28241242209,0.000838803511173,0.0,-0.000375639068839,-0.000360284271346,0.243257852242,-0.00180338734882,0.00604525488958,0.0,455.29490018218314,454.8571235472995,455.66713382681104,456.5703324545083
0.18,-5.34584981593e-05,-4.80746470217e-05,10.031804485,6.28274414379,0.00153928436873,0.0,-0.00113249280612,-0.000922314110143,0.407321237845,0.0171879286615,0.0210558402804,0.0,455.6315767298678,456.82975269710784,456.7280927999107,458.2399464281126
0.23999999999999996,-0.000156076664059,-0.00010835937995,10.0581276177,0.000268997307869,0.00282463701668,0.0,-0.00241104898141,-0.00100021852192,0.470092089369,-0.00190582705534,0.0221459747943,0.0,425.19661940656385,425.2900122676973,425.79685681735276,424.16042030499426
0.3,-0.000367947196345,-0.00016296702298,10.0905433437,0.000136857002068,0.00421778574975,0.0,-0.00479813558183,-0.000833351955836,0.610366631869,-0.00280209916599,0.0252832298293,0.0,450.1887571680424,450.442536846774,449.22283181609,449.1502060118378
0.36000000000000004,-0.000755712368449,-0.000209521949444,10.1317262018,0.000711666389392,0.00561008524753,0.0,-0.00828693659212,-0.000688092646357,0.762305062929,0.0269624556541,0.018686351932,0.0,453.97980820863137,453.4502879474536,452.0668928713969,454.45854659117043
0.4200000000000001,-0.00138298729226,-0.000227845414092,10.1821616769,0.00263552477892,0.00634606258765,0.0,-0.0127293991573,0.000274356248093,0.91876348738,0.0406948138446,-0.00541407013159,0.0,455.485396926942,453.5540880123867,455.0847598487596,456.1828199269022
0.48000000000000015,-0.00224859949527,-0.000161325394213,10.2358286986,0.00513736721537,0.00604897618318,0.0,-0.0160997303165,0.00214091504802,0.870175416828,0.0436301308539,-0.00404183541866,0.0,387.3867110581882,387.5157927860005,387.9806660678053,388.25733337721323
0.5400000000000001,-0.00333577576165,8.11656842372e-05,10.2905375105,0.0083303910948,0.00598125140239,0.0,-0.0201242158437,0.00623565537882,0.953383804267,0.0675979037277,0.00413999174698,0.0,432.38796266480506,433.07663362692716,430.91657840898466,432.93949726547027
0.6000000000000002,-0.00467534849294,0.000652937450469,10.3518244368,0.0125669022862,0.00696539312968,0.0,-0.0246014369701,0.013267959415,1.08938881636,0.0760337197264,0.0336630524948,0.0,447.48312410918686,449.8796518755894,449.21922895541013,449.9064077012197
0.6600000000000003,-0.00630364896771,0.00172527027181,10.4201183687,0.0172553681701,0.0097630115994,0.0,-0.0299274927445,0.0229455679174,1.18697019162,0.0820516349757,0.0645820696628,0.0,435.75781326288694,438.3357521749976,437.4246309138018,437.9303884942384
0.7200000000000003,-0.00832399247978,0.00349169662821,10.4951151964,0.0223887679397,0.0132778682853,0.0,-0.0378112125209,0.0364656456933,1.3127729071,0.0917745893168,0.0425337707615,0.0,447.7064252591141,445.91137193154094,445.7432022064711,446.5429371219993
0.7800000000000004,-0.0108625096329,0.00613819524633,10.5758121272,0.0278048455424,0.0161913764953,0.0,-0.0470714268796,0.0522774063903,1.37703203214,0.0870727110062,0.05848416112,0.0,426.03115352517153,427.39416108782916,427.9446159736059,427.55140735992416
0.8400000000000004,-0.014055213561,0.00990419457715,10.6626365005,0.0332427912993,0.0197615748555,0.0,-0.0597312730284,0.0738266529424,1.5169134893,0.0969364085677,0.0614666029367,0.0,452.07703262797827,452.31968208454055,450.1582967771293,450.9624027891269
0.9000000000000005,-0.0180163970664,0.0149673182779,10.7544371894,0.0393801249149,0.0232291691006,0.0,-0.0726346691678,0.0954883585027,1.54304658002,0.111273177392,0.0491950460126,0.0,415.29712494078706,414.22198634062374,415.2282565768267,416.493725778523
0.9600000000000005,-0.0228784560313,0.0215556414664,10.8505039145,0.0458510489744,0.0267542720735,0.0,-0.0897733862255,0.124802274434,1.65897659455,0.0999351373748,0.0730973907284,0.0,444.02261860245216,445.98132930990266,444.5214431947108,443.60162616653434
1.0200000000000005,-0.0289138637773,0.0301488665642,10.9558957976,0.0520883798633,0.0308277047667,0.0,-0.111893302974,0.162334210085,1.85373839854,0.110974594783,0.0546458517123,0.0,470.2696863267096,468.8414962260383,468.0234305215399,468.89053251834247
1.0800000000000005,-0.0364115336582,0.0412173731951,11.0743580939,0.0584256601213,0.0340842710188,0.0,-0.138418108727,0.207394320436,2.09453226361,0.0918903806346,0.0535264553779,0.0,482.9349146440869,482.85218318073623,484.24418102780527,482.81517928185593
1.1400000000000006,-0.0455268896678,0.0550483810404,11.2056828633,0.0641995304783,0.0369713227507,0.0,-0.165769699432,0.254266325963,2.28254339727,0.103737205068,0.0341870881284,0.0,469.5225728427137,468.0210838015065,468.1915988098367,469.1196764488607
1.2000000000000006,-0.0561759581596,0.0715316723131,11.343738095,0.0704632638835,0.0386056580541,0.0,-0.189373371686,0.295748055215,2.31916976715,0.105679725253,0.00733752372745,0.0,423.5758324167777,421.26076242250474,421.81354059381545,421.9913936807048
1.2600000000000007,-0.0683775691971,0.0908264244831,11.4868402935,0.0766301246821,0.0392243571953,0.0,-0.21739405991,0.348055810572,2.45056776393,0.096247332672,0.0156799609864,0.0,452.17416445583035,452.84558176334235,453.2914747133903,452.54179953466974
